Region,Date,Loan_Amount_GEL
Tbilisi,"Monday, November 30, 2015",3585.94
Tbilisi,"Thursday, December 31, 2015",3670.217
Tbilisi,"Sunday, January 31, 2016",3521.443
Tbilisi,"Monday, February 29, 2016",3493.283
Tbilisi,"Thursday, March 31, 2016",3517.868
Tbilisi,"Saturday, April 30, 2016",3489.862
Tbilisi,"Tuesday, May 31, 2016",3459.71
Tbilisi,"Thursday, June 30, 2016",3594.93
Tbilisi,"Sunday, July 31, 2016",3772.458
Tbilisi,"Wednesday, August 31, 2016",3743.451
Tbilisi,"Friday, September 30, 2016",3988.942
Tbilisi,"Monday, October 31, 2016",3921.161
Tbilisi,"Wednesday, November 30, 2016",4083.967
Tbilisi,"Saturday, December 31, 2016",4197.651
Tbilisi,"Tuesday, January 31, 2017",4263.567
Tbilisi,"Tuesday, February 28, 2017",4340.805
Tbilisi,"Friday, March 31, 2017",4602.337
Tbilisi,"Sunday, April 30, 2017",4688.508
Tbilisi,"Wednesday, May 31, 2017",4849.347
Tbilisi,"Friday, June 30, 2017",5007.362
Tbilisi,"Monday, July 31, 2017",5139.404
Tbilisi,"Thursday, August 31, 2017",5181.812
Tbilisi,"Saturday, September 30, 2017",5435.386
Tbilisi,"Tuesday, October 31, 2017",5512.307
Tbilisi,"Thursday, November 30, 2017",5676.465
Tbilisi,"Sunday, December 31, 2017",5901.125
Tbilisi,"Wednesday, January 31, 2018",5916.889
Tbilisi,"Wednesday, February 28, 2018",5991.292
Tbilisi,"Saturday, March 31, 2018",6097.512
Tbilisi,"Monday, April 30, 2018",6202.478
Tbilisi,"Thursday, May 31, 2018",6256.59
Tbilisi,"Saturday, June 30, 2018",6337.587
Tbilisi,"Tuesday, July 31, 2018",6493.164
Tbilisi,"Friday, August 31, 2018",6533.189
Tbilisi,"Sunday, September 30, 2018",6786.396
Tbilisi,"Wednesday, October 31, 2018",6900.336
Tbilisi,"Friday, November 30, 2018",6938.451
Tbilisi,"Monday, December 31, 2018",7018.463
Tbilisi,"Thursday, January 31, 2019",6946.067
Tbilisi,"Thursday, February 28, 2019",7038.035
Tbilisi,"Sunday, March 31, 2019",7252.986
Tbilisi,"Tuesday, April 30, 2019",7284.772
Tbilisi,"Friday, May 31, 2019",7492.645
Tbilisi,"Sunday, June 30, 2019",7886.544
Tbilisi,"Wednesday, July 31, 2019",7995.246
Tbilisi,"Saturday, August 31, 2019",8297.591
Tbilisi,"Monday, September 30, 2019",8659.167
Tbilisi,"Thursday, October 31, 2019",8781.749
Tbilisi,"Saturday, November 30, 2019",8948.809
Tbilisi,"Tuesday, December 31, 2019",9173.527
Tbilisi,"Friday, January 31, 2020",9161.608
Tbilisi,"Saturday, February 29, 2020",9208.368
Tbilisi,"Tuesday, March 31, 2020",9203.096
Tbilisi,"Thursday, April 30, 2020",9188.331
Tbilisi,"Sunday, May 31, 2020",9136.482
Tbilisi,"Tuesday, June 30, 2020",9223.63
Tbilisi,"Friday, July 31, 2020",9340.777
Tbilisi,"Monday, August 31, 2020",9421.229
Tbilisi,"Wednesday, September 30, 2020",9848.041
Tbilisi,"Saturday, October 31, 2020",9951.136
Tbilisi,"Monday, November 30, 2020",10223.458
Tbilisi,"Thursday, December 31, 2020",10772.867
Tbilisi,"Sunday, January 31, 2021",10694.484
Tbilisi,"Sunday, February 28, 2021",10781.084
Tbilisi,"Wednesday, March 31, 2021",10931.804
Tbilisi,"Friday, April 30, 2021",11162.773
Tbilisi,"Monday, May 31, 2021",11331.403
Tbilisi,"Wednesday, June 30, 2021",11594.674
Tbilisi,"Saturday, July 31, 2021",11821.442
